Id,app,category,sentiment,summary,aspects,opinions
138,Sunwai,UNCLASSIFIED_ISSUES,negative,AOA state bnk of Pakistan Sir bnK ibft & p2p ke Jo  payment  stuck ho jte hi aur 24 hours bd auto reverted be n hote  Jb bank ko complain kre to phr 10 working day ka time milta hi Jo km az km 15 din bnte hi  👏 Wo pareshani taklif Jo hume hote hi ap ko n bta skte K  Payment be Apne aur zalel be hum ho.,bnk ibft & p2p ke Jo payment stuck ho jte hi aur 24 hours bd auto reverted,
139,UBL Digital,APP#DESIGN_FEEDBACK,negative,"I can't find an option for payment to UET lahore fee in new version. even in the old version it was not simple to find the option. i think you are trying ways to make it more difficult. why don't you add UET To ""education"" option.",option for payment to UET lahore fee,difficult
140,UBL Digital,APP#DESIGN_FEEDBACK,positive,UBL Pay is working now. Please create option in App for the fund and other transection limit. One of the best looking and functioning banking app in Pakistan.,"Account Maintenance Certificate, banking app, option","best looking, easier"
141,UBL Digital,APP#FEATURES,negative,I have lodged two complaints but no solution so far. It's a shame that a large bank like UBL is unable to resolve the complaints of its customers. The only choice I now have is to lodge a complaint with the State Bank of Pakistan.,"bank, other apps, easypasa, app, selfi","pay once, limit of 25 thousand, wall, bad, rude"
142,UBL Digital,APP#GENERAL_EXPERIENCE,negative,Need improvements v bad,,bad
143,UBL Digital,APP#GENERAL_EXPERIENCE,neutral,found ok,,ok
144,UBL Digital,APP#GENERAL_EXPERIENCE,positive,Aap is very good & easy aap very good. it amazing. excellent 👍 good 💯 Good Experience so far. good experience. good work but some currently creates problem.,"work, UBl, UBL, aap, Experience, UBL Digital Ap","best, fabulous, love, marvelous, Amazing, good, Nice, Good, nice, amazing, excellent, satisfied, glad, Excellent, awesome, wonderful, helpful, great"
145,UBL Digital,APP#PERFORMANCE,negative,"After the app was updated to 3.38.1 version, it crashes every time I try to navigate to 'My Accounts' The app processing or speed is very slow, it should be fast, also it need more things to change, like if I need bank documents I download it on click, renew ATM and activity it online.","App, app processing, education icon, on bank app, mobile app, app, speed, UBL smart account, RAAST PAYMENT option, option to pay Jazz and Zong postpaid bills, updated program, cache","broken, slow, fed up, Bug filled, frustrating, crashes, crashing, not working, not appearing, fast"
146,UBL Digital,APP#PERFORMANCE,positive,UBL digital app has multidimensional features and very helpful . very fast and great service i am happy to use this app i like this app if you have 6 stars i am ready to give u 6 very good app very fast I found the app very helpful and productive Vvv Good 👍 Work fast and easier app thanx ubl nice app and fast working lots of features are missing like bundles packages co operates payments and so many more.,"application UX, Vvv, safe app, features, app, UBL app, digital app, UBL digital app, HBL mobile App, security system","improved, easy to operate, good, multidimensional features, Nice, perfectly functional, Good, gooood, easy, strong, easily, fast, easy start, Best, better, nice, helpful, great"
147,UBL Digital,APP#PRICING_FEEDBACK,negative, ubl digital app,app,expensive
148,UBL Digital,APP#USABILITY,positive, Brilliant app thank God ypu were sensible for creating an app for watch easy quick payments and balance check. Later on do include NFC payments for watch but not needed much due to Google Wallet.,"NFC payments for watch, watch","not needed much, easy quick, easy"
149,UBL Digital,APP#USABILITY_FEATURES,negative," scan CNIC/NICOP to update the contact phone number feature is broken for NICOP holders. The app scans the front of NICOP just fine, but the backside scan is looking for an URDU CNIC, not English NICOPs. IF you are overseas, they will not help you. OTP is king, and you will be stuck.","backside scan, scan CNIC/NICOP","complicated, broken"
150,UBL Digital,APP#USABILITY_FEATURES,positive," scan CNIC/NICOP to update the contact phone number feature is broken for NICOP holders. The app scans the front of NICOP just fine, but the backside scan is looking for an URDU CNIC, not English NICOPs.","app, banking app, Money transfer app, application, interface, ubl","best, love, simple, user-friendly, fine, excellent, easy, easily, easy to navigate, easy to use"
151,UBL Digital,BANK_REPUTATION,positive,"One of my favorite ubl good experience with UBL Digital i love you ❤️ ubl the UBL everything is very good MashaAllah, I'm proud of UBL and UBL team. 100 Mark.","UBL Digital, Mark, ubl, UBL","proud, love, good, favorite, 100"
152,UBL Digital,BIOMETRIC#GENERAL,positive,Please add thumb in biometric,biometric,
153,UBL Digital,BRANCH_SERVICE,negative,"""They hold my payment from 2 yeas always make new story and 0349 bank branch staff Third class staff they hairring lie lie lielie every time all I give proof in bank they not do any this just sit and lie lie every time if you want growth your bank kindly throw out this kind of staff from your 0349 branch they treat like we are Beggar third class staff""","people, service","pathetic, bad, slow"
154,UBL Digital,BRANCH_SERVICE,positive,Service is amazing and very easy you can also change your number address don't need to go branch happy to part of ubl. UBL service is very good good services good service Good work very good service ubl prompt and efficient service Too bad people are in this bank now.,"Services, work, luck, job, social worker, service, services, Ubl service, Shari, Servies, staff, department, servise","best, Good, excellant, super, friendly, good, excellent, satisfied, easy, nice, prompt, Great, quick, outstanding, Excellent, shared a lot of time, great, amazing, fast"
155,UBL Digital,CUSTOMER_SUPPORT,negative,"I activated my UBL debit card through a call, and without any usage or prior notification, Rs. 2,900 plus Rs. 435 FED was deducted the very next day. Such charges should be informed in advance and taken only with proper consent. UBL must improve its transparency and customer service.","bank, state bank of Pakistan, reversal request, banking, online, customer support, debit card, credit card, UBL Karor Lal Essan Branch, transfer details, biometric, large bank, account","unfair, Facing issue, unable to resolve, bad experience, worst, unsupportive, annoying, poor"
156,UBL Digital,CUSTOMER_SUPPORT,positive,"United Bank Limited (UBL) has established itself as one of Pakistan’s most trusted and innovative financial institutions. With a rich legacy spanning decades, UBL consistently delivers a wide range of banking services that combine modern technology with personalized care.","UBL bank services, helpline, bank account, BANKING APPLICATION, Bank UBL, AIOU fee option, services, online payment transfer system, Bank, BANK, UBL branch, banking, banking services, UBL Bank, bank, banking experience, UBL, United Bank Limited (UBL), Top1 bank","best, Great, trusted and innovative, love, good, BEST, Good, thanks, powerful, satisfied, easy, wide range, favorite, Excellent, Awesome, third class, nice"
157,UBL Digital,DELIVERY_RELATED_FEEDBACK,negative,Overall good but never show fees when send amount to other bank so thats a bed for me i request you to add fee option when we send moeny to another bank.,,good
158,UBL Digital,DEVICE#PERFORMANCE,negative,Can't register on new phone as well as otp issue when registering or sending money. can't enter otp manually sim must be in phone doesn't work. app showing loading all the time.,"phone, cell phone",
159,UBL Digital,DEVICE#PERFORMANCE,positive,"UBL is one of my favorites and easy operation aap. Fast and Convenient safe, Smooth and Fast highly recommended fast and easy. Now it is working properly. working well with cool features.","ubl, working","smooth, Fast, fine, Good, amazing, excellent, favorite, safe, properly, well, nice, fast"
160,UBL Digital,FEES_POLICY_COMPLAINTS,negative,"I activated my UBL debit card through a call, and without any usage or prior notification, Rs. 2,900 plus Rs. 435 FED was deducted. Such charges should be informed in advance and taken only with proper consent. UBL must improve its transparency and customer service.",charges,not acceptable
161,UBL Digital,LOCATION_FEEDBACK_MISC,positive,I have a very fine and relaxing experience MashaAllaha. ab kaam hoy asaan zabardast Alhamdull,"ab kaam hoy asaan zabardast, mashallah bht acha, warking, MashaAllaha, Alhamdullilah","fine, nice, good"
162,UBL Digital,MISC#APP_FEEDBACK,positive,Good serves,serves,Good
163,UBL Digital,SYSTEM#PERFORMANCE,positive,Nice and smoothly working,system,Nice
164,UBL Digital,SYSTEM_UI,positive,Extremely good UI 👍,UI,good
165,UBL Digital,UI_UX#DESIGN,positive,"Good Designing UBL provided us one of the best digital apps, easy to use and good in appearance. I really like","appearance, Designing","Good, good"
